latitude,longitude,start_time,stop_time,all_day,city_name,region_name,postal_code
40.7519,-73.9965,2016-09-11 15:00:00,None,0,New York,New York,10001
40.7579219,-73.9871910,2016-09-11 13:00:00,None,0,New York,New York,10036
40.7618729,-73.9842871,2016-09-11 14:00:00,None,0,New York,New York,10019
40.7592436,-73.9830217,2016-09-11 15:00:00,None,0,West New York,New Jersey,None
40.6891099,-73.9582296,2016-09-11 19:30:00,None,0,New York,New York,None
40.7495210,-74.0083037,2016-09-11 19:00:00,None,0,New York,New York,10036
40.7332616,-74.0057563,2016-09-11 15:00:00,None,0,New York,New York,10014
40.7583291,-73.9864568,2016-09-11 13:00:00,None,0,New York,New York,10036
40.7142,-74.0064,2016-09-11 00:00:00,None,1,New York,New York,None
40.7829269,-73.9801205,2016-09-11 00:00:00,None,0,New York,New York,None
40.8291892,-73.9264926,2016-09-11 00:00:00,None,2,Bronx,New York,10456
40.6735750,-73.9916970,2016-09-11 20:00:00,None,0,Brooklyn,New York,11215
40.7317679,-73.9892102,2016-09-11 20:00:00,None,0,New York,New York,10003
40.7021,-73.9423,2016-09-11 12:00:00,2016-09-11 20:00:00,0,Brooklyn,New York,11206
41.093285,-73.918106,2016-09-11 12:00:00,2016-09-11 17:00:00,0,Nyack,New York,None
40.7958,-73.9729,2016-09-11 10:00:00,2016-09-11 17:30:00,0,New York,New York,10024
40.76493809795538,-73.9960020932541,2016-09-11 22:00:00,None,0,New York,New York,10012
40.7284001,-74.0052472,2016-09-11 20:00:00,None,0,New York,New York,10014
40.7142,-74.0064,2016-09-11 14:00:00,None,0,New York,New York,None
40.7783011,-73.9818248,2016-09-11 16:00:00,2016-09-12 01:00:00,0,New York,New York,None
40.7273972,-74.0012814,2016-09-11 10:00:00,2016-09-11 18:00:00,0,New York,New York,None
40.7588165,-73.9747034,2016-09-11 12:00:00,2016-09-11 14:00:00,0,New York,New York,10003
40.7182,-73.9847,2016-09-11 20:00:00,None,0,New York,New York,10002
40.876,-73.8715,2016-09-11 08:00:00,2016-09-11 10:30:00,0,Bronx,New York,10467
40.7142,-74.0064,2016-09-11 19:00:00,None,0,New York,New York,None
